1;12;1
2;13;1
3;21;1
4;22;1
5;23;1
6;24;1
7;32;1
8;33;1
9;41;1
10;42;1
11;43;1
12;44;1
13;52;1
14;53;1
15;61;1
16;62;1
17;63;1
18;64;1
19;72;1
20;73;1
21;82;1
22;83;1
23;92;1
24;93;1
25;102;1
26;103;1
27;112;1
28;113;1
29;120;1
30;131;1
31;132;1
32;133;1
33;134;1
34;142;1
35;143;1
36;151;1
37;152;1
38;154;1
39;162;1
40;163;1
41;170;1
42;180;1
43;192;1
44;193;1
45;202;1
46;203;1
47;210;1
48;222;1
49;223;1
50;12;2
51;13;2
52;22;2
53;23;2
54;30;2
55;42;2
56;43;2
57;52;2
58;53;2
59;60;2
60;72;2
61;73;2
62;80;2
63;92;2
64;93;2
65;102;2
66;103;2
67;112;2
68;113;2
69;122;2
70;123;2
71;130;2
72;140;2
73;152;2
74;153;2
75;162;2
76;163;2
77;170;2
78;182;2
79;183;2
80;192;2
81;193;2
82;200;2
83;212;2
84;213;2
85;222;2
86;223;2
87;232;2
88;233;2
89;242;2
90;243;2
91;252;2
92;253;2
93;262;2
94;263;2
95;272;2
96;273;2
97;282;2
98;283;2
99;292;2
100;293;2
101;302;2
102;303;2
103;312;2
104;313;2
105;322;2
106;323;2
107;330;2
108;342;2
109;343;2
110;370;2
111;410;2
112;420;2
113;10;2
114;20;3
115;30;3
116;40;3
117;50;3
118;60;3
119;70;3
120;80;3
121;90;3
122;100;3
123;110;3
124;120;3
125;130;3
126;140;3
127;150;3
128;160;3
129;170;3
130;182;3
131;183;3
132;190;3
133;200;3
134;210;3
135;220;3
136;230;3
137;240;3
138;250;3
139;260;3
140;270;3
141;280;3
142;290;3
143;300;3
144;310;3
145;322;3
146;323;3
147;332;3
148;333;3
149;352;3
150;353;3
151;360;3
152;372;3
153;373;3
154;380;3
155;390;3
156;400;3
157;410;3
158;420;3
159;430;3
160;442;3
161;443;3
162;452;3
163;453;3
164;460;3
165;472;3
166;473;3
167;480;3
168;490;3
169;502;3
170;512;3
171;513;3
172;522;3
173;523;3
174;532;3
175;533;3
176;540;3
177;552;3
178;553;3
179;560;3
180;570;3
181;580;3
182;592;3
183;593;3
184;602;3
185;603;3
186;612;3
187;613;3
188;622;3
189;623;3
190;632;3
191;633;3
192;642;3
193;643;3
194;650;3
195;660;3
196;672;3
197;673;3
198;682;3
199;683;3
200;692;3
201;693;3
202;700;3
203;710;3
204;722;3
205;723;3
206;732;3
207;733;3
208;750;3
209;760;3
210;772;3
211;773;3
212;780;3
213;792;3
214;793;3
215;802;3
216;803;3
217;810;3
218;822;3
219;823;3
220;832;3
221;833;3
222;840;3
223;850;3
224;860;3
225;870;3
226;882;3
227;883;3
228;890;3
229;900;3
230;910;3
231;920;3
232;932;3
233;933;3
234;942;3
235;943;3
236;952;3
237;953;3
238;960;3
239;970;3
240;980;3
241;990;3
242;1000;3
243;1010;3
244;1020;3
245;1032;3
246;1033;3
247;1040;3
248;1052;3
249;1053;3
250;1060;3
251;1070;3
252;1080;3
253;1092;3
254;1093;3
255;1100;3
256;1110;3
257;1120;3
258;1130;3
259;1140;3
260;1162;3
261;1163;3
262;1172;3
263;1173;3
264;1182;3
265;1183;3
266;1192;3
267;1193;3
